"","Features","L1","L2","Win1","Win2","WeightedWin1","WeightedWin2","Prediction"
"3074","NumDistinctTweets_Week1_Delta+NumPopularTweets_Week1_Delta+NumVerifiedTweets_Week1_Delta+NumDistinctTweets_Week1_LogDelta+NumPopularTweets_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta","74.2762154686153","85.5162442141271","1","3","3","6","224.665383508864"
"3075","NumDistinctTweets_Month1_Absolute+NumPopularTweets_Month1_Absolute+NumVerifiedTweets_Month1_Absolute+NumDistinctTweets_Week1_Absolute+NumPopularTweets_Week1_Absolute+NumVerifiedTweets_Week1_Absolute","52.5604352458724","63.8836774572541","5","5","6","7","281.811857957993"
"3076","NumDistinctTweets_Month1_Log+NumPopularTweets_Month1_Log+NumVerifiedTweets_Month1_Log+NumDistinctTweets_Week1_Log+NumPopularTweets_Week1_Log+NumVerifiedTweets_Week1_Log","58.1348410044475","67.0722515894462","5","3","7","7","201.009139107735"
"3077","NumDistinctTweets_Month1_Delta+NumPopularTweets_Month1_Delta+NumVerifiedTweets_Month1_Delta+NumDistinctTweets_Week1_Delta+NumPopularTweets_Week1_Delta+NumVerifiedTweets_Week1_Delta","57.6281848333325","68.1009007926399","4","3","5","6","117.142933916906"
"3078","NumDistinctTweets_Month1_LogDelta+NumPopularTweets_Month1_LogDelta+NumVerifiedTweets_Month1_LogDelta+NumDistinctTweets_Week1_LogDelta+NumPopularTweets_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta","60.3449999320259","71.1161016265788","4","3","7","7","146.373204375205"
"3079","NumDistinctTweets_Month2_Absolute+NumPopularTweets_Month2_Absolute+NumVerifiedTweets_Month2_Absolute+NumDistinctTweets_Week1_Absolute+NumPopularTweets_Week1_Absolute+NumVerifiedTweets_Week1_Absolute","54.5126096599573","66.8157955833359","5","4","6","5","301.401600712802"
"3080","NumDistinctTweets_Month2_Log+NumPopularTweets_Month2_Log+NumVerifiedTweets_Month2_Log+NumDistinctTweets_Week1_Log+NumPopularTweets_Week1_Log+NumVerifiedTweets_Week1_Log","60.5898716039894","70.0964775079251","4","2","7","7","175.76759277623"
"3081","NumDistinctTweets_Month2_Delta+NumPopularTweets_Month2_Delta+NumVerifiedTweets_Month2_Delta+NumDistinctTweets_Week1_Delta+NumPopularTweets_Week1_Delta+NumVerifiedTweets_Week1_Delta","75.8186259617807","81.7800094166923","1","2","5","7","216.431657602543"
"3082","NumDistinctTweets_Month2_LogDelta+NumPopularTweets_Month2_LogDelta+NumVerifiedTweets_Month2_LogDelta+NumDistinctTweets_Week1_LogDelta+NumPopularTweets_Week1_LogDelta+NumVerifiedTweets_Week1_LogDelta","65.8302331993219","75.9079533222507","4","2","7","7","148.372339882347"
"3083","NumDistinctTweets_Week2_Absolute+NumPopularTweets_Week2_Absolute+NumVerifiedTweets_Week2_Absolute","45.3477969274975","55.7107906591714","5","5","6","7","248.037100153649"
"3084","NumDistinctTweets_Week2_Log+NumPopularTweets_Week2_Log+NumVerifiedTweets_Week2_Log","52.117359812518","63.2108111454743","6","3","8","7","184.329533976605"
"3085","NumDistinctTweets_Week2_Absolute+NumPopularTweets_Week2_Absolute+NumVerifiedTweets_Week2_Absolute+NumDistinctTweets_Week2_Log+NumPopularTweets_Week2_Log+NumVerifiedTweets_Week2_Log","44.7041923979068","60.2571991382643","5","5","6","9","251.254416308903"
"3086","NumDistinctTweets_Week2_Delta+NumPopularTweets_Week2_Delta+NumVerifiedTweets_Week2_Delta","71.1828146658541","78.9196733164293","3","3","6","7","157.218199647472"
"3087","NumDistinctTweets_Week2_Absolute+NumPopularTweets_Week2_Absolute+NumVerifiedTweets_Week2_Absolute+NumDistinctTweets_Week2_Delta+NumPopularTweets_Week2_Delta+NumVerifiedTweets_Week2_Delta","52.3919970966027","61.7308732680509","5","5","6","7","247.908134495598"
"3088","NumDistinctTweets_Week2_Log+NumPopularTweets_Week2_Log+NumVerifiedTweets_Week2_Log+NumDistinctTweets_Week2_Delta+NumPopularTweets_Week2_Delta+NumVerifiedTweets_Week2_Delta","61.8199100660881","69.7925451705159","4","3","6","7","185.23062065803"
"3089","NumDistinctTweets_Week2_LogDelta+NumPopularTweets_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","65.0237358518661","75.897407342605","4","2","7","7","154.041347348674"
"3090","NumDistinctTweets_Week2_Absolute+NumPopularTweets_Week2_Absolute+NumVerifiedTweets_Week2_Absolute+NumDistinctTweets_Week2_LogDelta+NumPopularTweets_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","48.5741196844506","58.1558425100413","5","4","6","7","244.602273550239"
"3091","NumDistinctTweets_Week2_Log+NumPopularTweets_Week2_Log+NumVerifiedTweets_Week2_Log+NumDistinctTweets_Week2_LogDelta+NumPopularTweets_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","55.6054164240218","65.5472759251721","5","3","8","7","181.064747366021"
"3092","NumDistinctTweets_Week2_Delta+NumPopularTweets_Week2_Delta+NumVerifiedTweets_Week2_Delta+NumDistinctTweets_Week2_LogDelta+NumPopularTweets_Week2_LogDelta+NumVerifiedTweets_Week2_LogDelta","71.2484555421152","79.8630395151193","4","3","7","7","157.698021242219"
"3093","NumDistinctTweets_Month1_Absolute+NumPopularTweets_Month1_Absolute+NumVerifiedTweets_Month1_Absolute+NumDistinctTweets_Week2_Absolute+NumPopularTweets_Week2_Absolute+NumVerifiedTweets_Week2_Absolute","45.6858448090315","55.2965454181489","6","4","8","7","264.181774149998"
"3094","NumDistinctTweets_Month1_Log+NumPopularTweets_Month1_Log+NumVerifiedTweets_Month1_Log+NumDistinctTweets_Week2_Log+NumPopularTweets_Week2_Log+NumVerifiedTweets_Week2_Log","55.9770132688312","64.6489569699101","5","2","7","7","201.952111159768"
