,Features,L1,L2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
6132,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_LogDelta+NumDistinctUsers_Month2_LogDelta+NumDistinctUsers_Week1_LogDelta+NumDistinctUsers_Week2_LogDelta,61.96052641,69.8269776,5,4,8,7,-22.3211154,-4.417783946,238.9489508
6133,TwoMonthBefore+ThreeMonthBefore+NumDistinctUsers_Month1_Log+NumDistinctUsers_Month2_Log+NumDistinctUsers_Week1_Log+NumDistinctUsers_Week2_Log+NumDistinctUsers_Month1_LogDelta+NumDistinctUsers_Month2_LogDelta+NumDistinctUsers_Week1_LogDelta+NumDistinctUsers_Week2_LogDelta,55.04579473,65.0584851,5,4,7,7,-17.90374403,-21.67803579,242.5042003
6134,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_Log+NumDistinctUsers_Month1_Log,52.56597935,63.63474382,4,3,7,7,76.34761927,192.3959183,202.7545153
6135,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_LogDelta+NumDistinctUsers_Month1_LogDelta,65.14779979,74.08281883,4,2,7,7,-37.16063809,-25.59659726,185.6011408
6136,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_Log+NumDistinctUsers_Month1_Log+NumTweets_Month1_LogDelta+NumDistinctUsers_Month1_LogDelta,52.34116436,63.75376313,4,3,7,7,54.3747509,145.98174,201.7748213
6137,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month2_Log+NumDistinctUsers_Month2_Log,55.47228208,66.42630911,4,3,7,7,-20.20794389,-7.063001738,187.3412647
6138,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month2_LogDelta+NumDistinctUsers_Month2_LogDelta,64.29060208,73.93999337,4,2,7,7,-35.88441095,-24.16736276,185.8415033
6139,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month2_Log+NumDistinctUsers_Month2_Log+NumTweets_Month2_LogDelta+NumDistinctUsers_Month2_LogDelta,48.78664544,61.75355235,7,5,8,7,-14.90318595,-11.8860634,203.1274675
6140,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_Log+NumDistinctUsers_Month1_Log+NumTweets_Month2_Log+NumDistinctUsers_Month2_Log,52.44066499,63.84614436,4,3,7,7,1098.674745,2332.692876,202.0203729
6141,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_LogDelta+NumDistinctUsers_Month1_LogDelta+NumTweets_Month2_LogDelta+NumDistinctUsers_Month2_LogDelta,64.19274122,74.24483071,4,2,7,7,-36.29504099,-24.7383149,186.6169413
6142,TwoMonthBefore+ThreeMonthBefore+NumTweets_Month1_Log+NumDistinctUsers_Month1_Log+NumTweets_Month2_Log+NumDistinctUsers_Month2_Log+NumTweets_Month1_LogDelta+NumDistinctUsers_Month1_LogDelta+NumTweets_Month2_LogDelta+NumDistinctUsers_Month2_LogDelta,55.89836963,69.98833349,5,4,7,5,-3.57735334,3.026509855,228.8476532
6143,TwoMonthBefore+ThreeMonthBefore+NumTweets_Week1_Log+NumDistinctUsers_Week1_Log,64.92771427,73.76224266,4,2,7,7,-35.85445609,-25.5135831,183.890946
6144,TwoMonthBefore+ThreeMonthBefore+NumTweets_Week1_LogDelta+NumDistinctUsers_Week1_LogDelta,65.01768126,74.40138977,4,2,7,7,-36.82823875,-25.27047869,178.5428345
