Date,Consensus,DeltaConsensus
8/29/2008,420,-5
9/5/2008,440,-4
9/12/2008,440,-5
9/19/2008,450,-5
9/26/2008,475,-18
10/3/2008,475,-22
10/10/2008,470,-8
10/17/2008,468,7
10/24/2008,475,-3
10/31/2008,477,-2
11/7/2008,480,-1
11/14/2008,505,-11
11/21/2008,535,-7
11/28/2008,535,6
12/5/2008,525,16
12/12/2008,554,-19
12/19/2008,560,6
12/26/2008,575,-11
1/2/2009,545,53
1/9/2009,503,36
1/16/2009,550,26
1/23/2009,575,-14
1/30/2009,580,-8
2/6/2009,610,-16
2/13/2009,620,-3
2/20/2009,625,-2
2/27/2009,650,-17
3/6/2009,645,6
3/13/2009,654,0
3/20/2009,650,4
3/27/2009,650,-2
4/3/2009,660,-9
4/10/2009,660,6
4/17/2009,640,30
4/24/2009,640,0
5/1/2009,635,4
5/8/2009,611,10
5/15/2009,625,-12
5/22/2009,627,-4
5/29/2009,620,-3
6/5/2009,615,-6
6/12/2009,603.5,2.5
6/19/2009,600,-8
6/26/2009,615,-12
7/3/2009,602.5,-11.5
7/10/2009,553,-12
7/17/2009,556.5,34.5
7/24/2009,575,21
7/31/2009,580,-4
8/7/2009,545,-5
8/14/2009,551,-7
8/21/2009,565,-11
8/28/2009,563.5,-6.5
9/4/2009,560,-10
9/11/2009,556.5,6.5
9/18/2009,550,5
9/25/2009,535,5
10/2/2009,540,-11
10/9/2009,520,-1
10/16/2009,515,1
10/23/2009,525,-6
10/30/2009,521.5,-8.5
11/6/2009,510,-2
11/13/2009,504,2
11/20/2009,500,-5
11/27/2009,480,14
12/4/2009,455,-2
12/11/2009,465,-9
12/18/2009,470,-10
12/25/2009,460,8
1/1/2010,440,8
1/8/2010,437,3
1/15/2010,440,-4
1/22/2010,450,-32
1/29/2010,455,-15
2/5/2010,465,-15
2/12/2010,437.5,-2.5
2/19/2010,460,-13
2/26/2010,470,-26
3/5/2010,460,-9
3/12/2010,455,-7
3/19/2010,450,-7
