"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","L1_conf","medianL1_conf","L2_conf","medianL2_conf","Win1_conf","Win2_conf","DirectionalWin1_conf","DirectionalWin2_conf","WeightedWin1_conf","WeightedWin2_conf"
"5413",5413,"IJC+NumVerifiedTweets_Month1_hiring_Absolute+NumVerifiedTweets_Month1_hiring_AbsoluteDelta",47.6532359485467,36.9029196963632,61.0803506124099,38.5103784194651,5.5,6,6,7,-25.2973560364071,110.998267939751,3.48914016430891,4.36047413843557,4.58624117126939,2.23759470274575,1,0,0,0,24.8723083786031,27.267755167758
"5419",5419,"IJC+NumVerifiedTweets_Week1_all_Absolute",48.573393713862,37.2575224493745,58.9751030934939,38.3213234572799,5.5,6,6,7,-2.34071340792247,102.78743421605,3.18419035814658,2.50794398429241,8.15522278708755,4.07201842144046,1,1,1,0,37.8419035814658,90.4582029463919
"5422",5422,"IJC+NumVerifiedTweets_Week1_opportunity_Absolute",48.5243803082581,36.4296328604566,61.9831498071128,36.8957993745866,5,5,5.5,7,-32.6201756393815,27.5766358541752,4.15411075733817,6.54284826413055,4.98157054191186,6.91535219349497,1,1,1,1,73.6947482471838,66.1352608617401
"5427",5427,"IJC+NumVerifiedTweets_Week1_allold_Absolute+NumVerifiedTweets_Week1_opening_Absolute",48.6777500450286,37.5670290600087,63.3319108555584,37.5787935642832,5,5.5,5.5,7,-19.1717428015132,139.395623311444,3.72577446393032,5.47721561818834,2.75466337724953,4.66726163296991,0,1,1,0,42.4861993280174,133.976343309338
"5431",5431,"IJC+NumVerifiedTweets_Week1_allold_Absolute+NumVerifiedTweets_Week1_posting_Absolute",46.4320589578046,39.6984141826503,59.4524721790048,39.7717275635698,5,5,6,7,-4.8476644328888,116.627195509033,4.47937975179524,7.56733992431398,6.1711604853397,8.35883994623217,1,0,1,1,43.5109289967129,55.8302215617932
"5442",5442,"IJC+NumVerifiedTweets_Week1_all_AbsoluteDelta+NumVerifiedTweets_Week1_allold_AbsoluteDelta",49.7470981707843,43.2759415384376,63.3507231861829,43.8327819305698,6,5,6,7,-6.64991886882713,101.50102202914,4.82861109097298,5.16290418442267,4.96566403957124,3.89461461300444,1,0,0,1,56.0917920411911,35.6274663574964
"5451",5451,"IJC+NumVerifiedTweets_Week1_all_AbsoluteDelta+NumVerifiedTweets_Week1_posting_AbsoluteDelta",46.9938447028432,43.2877776723936,56.8116535239072,43.453635050722,5,5,6,7,23.1431765330698,137.549963576338,2.92657743268433,5.74915025763177,4.57397963740802,7.3284090801868,0,1,1,0,43.3874713481454,68.6106631153553
"5459",5459,"IJC+NumVerifiedTweets_Week1_opening_AbsoluteDelta+NumVerifiedTweets_Week1_hiring_AbsoluteDelta",49.5942819386454,39.8284515606059,63.3060541635729,42.0571319089832,5,5,6,7,-23.7878296577849,75.4438303097614,3.44000992925132,5.38476510308016,5.67719535407347,6.24618965403572,1,1,1,1,24.2969408701818,45.9613265763314
"5462",5462,"IJC+NumVerifiedTweets_Week1_allold_Absolute+NumVerifiedTweets_Week1_allold_AbsoluteDelta",49.2964558532019,37.670616365967,63.580296784806,38.5537237669424,5,6,6,7,-46.398688904598,96.7528789173848,6.13871556687811,4.18628662567205,6.03284962480643,6.093698088457,0,1,1,0,51.2105621388195,57.739826621703
"5471",5471,"IJC+NumVerifiedTweets_Week1_posting_Absolute+NumVerifiedTweets_Week1_posting_AbsoluteDelta",48.4309152918858,37.4007413645673,65.5107251678065,37.4371472893163,5.5,6,6,7,-20.9958461915583,87.5057992080264,7.70897754802538,8.04219188552798,10.0749756599145,7.86100653683215,1,1,1,1,42.658219996736,97.7091390077394
"5485",5485,"IJC+NumVerifiedTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Week1_opportunity_Absolute",42.8447801918401,30.5754988823447,56.9207748680221,31.1752579871961,5,6,6,7,-36.6960016634422,113.393470978428,6.87338342122463,7.85692125896153,9.76070706001695,8.10901713654913,0,0,1,0,24.4197826194208,94.0663465937506
"5503",5503,"IJC+NumVerifiedTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Week1_all_AbsoluteDelta",46.1567210182044,35.5397142484784,58.1213004351871,36.0665206222441,5,6,6,7,24.7308196014105,180.425178476172,2.67888812216011,5.55271992082738,4.43395030110798,6.04817400613855,1,1,0,0,38.3238610457633,45.0529397485963
"5504",5504,"IJC+NumVerifiedTweets_Month1_allold_AbsoluteDelta+NumVerifiedTweets_Week1_allold_AbsoluteDelta",47.8300241489135,43.0260210838631,57.7829536398882,43.8839483301903,5,5.5,6,7,-11.6777456543952,106.649502740656,3.30467497447982,2.1581196585032,3.02847052851389,2.78432494618244,0,1,1,0,22.214386233874,62.5420071840783
