,Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2
101,NumTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week1_opening_Absolute,65.66574557,57.49846883,74.61977914,57.52241761,4,2,6,7,-162.9889468,-345.7889468
102,NumTweets_Month1_opportunity_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week1_opening_Absolute,66.74327788,61.95488425,75.27547909,61.95795691,4,2,6,7,-175.9193346,-358.7193346
103,NumTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week1_opening_Absolute,65.32632937,55.65789744,74.21466484,55.77880693,4,2,6,7,-158.9159524,-341.7159524
104,NumTweets_Month1_allold_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week1_opening_Absolute,65.91566451,58.46981929,74.66921799,58.50912065,4,2,6,7,-165.9879742,-348.7879742
105,NumTweets_Month1_all_Absolute+NumTweets_Week1_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Week1_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week1_opportunity_Absolute+NumTweets_Month1_opening_Absolute+NumTweets_Week1_opening_Absolute,64.49415993,52.56854062,74.0232192,52.58748558,5,3,7,8,-148.9299192,-331.7299192
106,NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week1_all_AbsoluteDelta,70.07968039,62.5975308,80.4476021,62.60026792,4,2,6,7,-215.9561647,-398.7561647
107,NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta,69.68209497,62.70364637,79.74218109,62.75706962,4,2,6,7,-211.1851396,-393.9851396
108,NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta,70.86690191,63.40196185,80.87734169,63.41090779,4,2,6,7,-225.4028229,-408.2028229
109,NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta,69.39841851,62.31018385,79.74527148,62.33920683,4,2,6,7,-207.7810221,-390.5810221
110,NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta,70.16663617,62.48129625,80.63024481,62.49796708,4,2,6,7,-216.999634,-399.799634
111,NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta,70.04150413,63.27688831,79.8773667,63.44486849,4,2,6,7,-215.4980496,-398.2980496
112,NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta,71.41577027,64.02754727,81.25718955,64.0657457,4,2,6,7,-231.9892432,-414.7892432
113,NumTweets_Month1_opening_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,69.20826822,64.17443103,79.16080687,64.19076888,4,2,6,7,-205.4992187,-388.2992187
114,NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,69.91962258,64.34162767,79.92655414,64.34740118,4,2,6,7,-214.0354709,-396.8354709
115,NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,69.41646917,64.3987857,79.19252071,64.42341904,4,2,6,7,-207.9976301,-390.7976301
116,NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,70.77309182,65.48833329,80.42421122,65.48957285,4,2,6,7,-224.2771019,-407.0771019
117,NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,70.10518473,64.46184249,80.13936908,64.46220314,4,2,6,7,-216.2622168,-399.0622168
118,NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week1_all_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,71.33467487,64.78470677,81.48943504,64.79169525,4,2,6,7,-231.0160984,-413.8160984
119,NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week1_allold_AbsoluteDelta+NumTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week1_opportunity_AbsoluteDelta+NumTweets_Month1_opening_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta,70.2556457,64.98693606,80.26838212,64.99687459,4,2,6,7,-218.0677485,-400.8677485
