"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"500","OneMonthBefore_Revised+IJC+NumPopularTweets_Week1_opportunity_AbsoluteDelta",47.733559,45.35797625,60.82557372,45.44284394,9,6,9,7,52.19729202,-130.602708,236.4696709
"503","OneMonthBefore_Revised+IJC+NumPopularTweets_Week1_opportunity_AbsoluteDelta+NumPopularTweets_Week1_opening_AbsoluteDelta",49.26268289,43.74069877,61.65508924,43.90179109,9,6,9,7,33.84780537,-148.9521946,214.6804677
"505","OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute",48.57340197,40.79980604,61.8442048,40.96239173,9,6,9,7,42.11917639,-140.6808236,222.8874633
"509","OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_allold_Absolute",46.88311512,38.318039,61.12705684,38.37028498,9,6,9,7,62.40261857,-120.3973814,261.2895882
"519","OneMonthBefore_Revised+IJC+NumPopularTweets_Week2_opening_Absolute+NumPopularTweets_Week2_opening_AbsoluteDelta",47.82923131,41.86874642,61.06512998,41.87145276,9,6,9,7,51.04922424,-131.7507758,241.5463049
"520","OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute",47.70073013,37.4600256,62.17662398,37.58947322,8,6,9,7,52.59123849,-130.2087615,261.6767278
"523","OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",45.94457836,32.77443205,63.57093076,34.45646343,8,6,9,8,73.66505966,-109.1349403,283.6654019
"525","OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",44.85869579,24.11060054,61.8938961,24.11993336,9,7,9,8,86.69565057,-96.10434943,309.1085726
"534","OneMonthBefore_Revised+IJC+NumPopularTweets_Week1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute",47.38157923,36.88578243,62.63142843,37.05625821,10,6,10,7,56.4210492,-126.3789508,280.2866345
"536","OneMonthBefore_Revised+IJC+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",44.42724226,39.09771428,56.12130819,39.13920925,7,5,10,8,91.87309284,-90.92690716,280.2949149
"538","OneMonthBefore_Revised+IJC+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",46.76796925,47.21088522,59.43360562,47.75801165,8,5,9,7,63.78436901,-119.015631,275.6086127
"545","OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute",49.02103896,37.74813593,64.22783566,37.81817458,9,6,9,7,36.74753254,-146.0524675,274.6919217
"546","OneMonthBefore_Revised+IJC+NumPopularTweets_Month1_allold_Absolute+NumPopularTweets_Week1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute+NumPopularTweets_Week2_opening_Absolute",47.76499996,32.93837075,66.08416692,34.29091828,9,6,10,8,51.82000043,-130.9799996,270.0672215
"554","OneMonthBefore_Revised+IJC+NumTweets_Week1_allold_Absolute+NumPopularTweets_Week1_allold_Absolute",48.23114616,36.09369504,61.62549399,36.42586815,9,5,9,7,46.22624613,-136.5737539,248.2332729
