"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2"
"5073",5073,"IJC+Consensus1+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",44.4258741610597,46.5872491876541,52.2245774387201,46.9591817452557,7,5,9,7,91.8895100672833,-90.9104899327167
"5081",5081,"IJC+Consensus1+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Month1_opening_AbsoluteDelta+NumPopularTweets_Week2_opening_AbsoluteDelta",43.3532857836286,38.1081305593304,52.7442645228067,38.1993981414726,7,5,9,8,104.760570596456,-78.0394294035438
"5087",5087,"IJC+Consensus1+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",48.7967039564963,38.2786536291318,60.8207537744986,38.9903499318628,8,4,9,6,39.4395525220445,-143.360447477956
"5088",5088,"IJC+Consensus1+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",41.5572952174586,30.3511548506395,50.0978133527037,30.4395892032669,7,6,9,10,126.312457390497,-56.4875426095032
"5094",5094,"IJC+Consensus1+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute",49.287831084332,46.8423207767186,59.8260150337453,48.0970398204055,8,4,9,6,33.5460269880159,-149.253973011984
"5109",5109,"IJC+Consensus1+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",48.5465292351986,45.0289932032575,58.6513084077123,45.2039209266814,8,5,10,8,42.4416491776169,-140.358350822383
"5117",5117,"IJC+Consensus1+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week1_opening_AbsoluteDelta+NumPopularTweets_Week2_opening_AbsoluteDelta",49.7718006701297,46.1704032802922,62.4784784889561,50.1456668979795,8,6,9,8,27.7383919584435,-155.061608041556
"5124",5124,"IJC+Consensus1+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",43.6258365480637,34.8158382149827,59.1367140524357,37.9225061461346,7,5,9,6,101.489961423236,-81.3100385767643
"5137",5137,"IJC+Consensus1+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute",49.8774644095636,42.1087212134467,61.6736035478903,43.304347237732,8,3,9,6,26.4704270852365,-156.329572914764
"5144",5144,"IJC+Consensus1+NumPopularTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",41.5727954163358,35.1846720610042,49.2839173037359,36.1389361674686,6,5,9,7,126.12645500397,-56.6735449960297
