#Field:candidate	AggregationKey	Score	AverageScore	NumTweets	NumTweetsWeighted	NumPositive	NumNegative	NumNeutral	FanCount	NumDistinctTweets	NumDistinctUsers	NumPopularTweets	NumVerifiedTweets
all	20110622	11.0145933526643	0.000627612156846969	17550	99331.7474773041	4623	583	12344	0	17143	5237	254	44
all	20110623	-187.819040174756	-0.00569649207408801	32971	188434.923611526	8433	1162	23376	0	32540	7004	301	59
all	20110624	-51.1165803771765	-0.00280367378110885	18232	102708.739700057	4739	607	12886	0	17909	4491	192	28
all	20110625	-348.21455931497	-0.0258013158947073	13496	76114.9378161217	3345	454	9697	0	13383	3133	103	3
all	20110626	-370.441472249009	-0.0327737301821648	11303	65379.2276085713	2788	359	8156	0	11198	2981	95	7
all	20110627	-1025.37884906767	-0.0537663913306941	19071	110182.227823256	4459	693	13919	0	18646	5449	279	42
all	20110628	-244.327703844318	-0.0139927669574662	17461	100631.487211797	4409	570	12482	0	17035	5025	239	32
all	20110629	-771.397370343476	-0.0381464429998752	20222	117125.531405163	4818	659	14745	0	19814	5455	237	24
all	20110630	-243.663441230456	-0.0139228296229048	17501	99021.9336867634	4396	595	12510	0	17107	5351	203	37
all	20110701	-26.1414847584798	-0.00137724486373109	18981	105551.195917966	4906	534	13541	0	18568	4614	205	15
all	20110702	-340.115046360862	-0.0257526346907596	13207	75215.5950177258	3272	385	9550	0	13089	3398	103	8
all	20110703	217.625898184334	0.0194204799379202	11206	65870.9118294297	3045	393	7768	0	11031	3016	121	9
all	20110704	720.301415524213	0.0502337272839259	14339	84797.0795892511	4195	418	9726	0	13865	4111	238	19
all	20110705	745.685388764811	0.0420033452805053	17753	NaN	5120	613	12020	0	17092	5378	314	10
all	20110706	365.499864310169	0.022091258042319	16545	95979.0007005141	4543	684	11318	0	15702	5169	343	160
all	20110707	575.781349666033	0.0332149610421709	17335	101228.583986421	4912	606	11817	0	16624	5397	309	105
all	20110708	646.030900498488	0.0347852089434895	18572	108766.971640267	5338	923	12311	0	17586	5609	365	83
all	20110709	1255.82201761893	0.0999301358811914	12567	75124.0108833009	3977	359	8231	0	12103	3502	203	4
all	20110710	842.590189491539	0.0764531521179148	11021	66607.6801063078	3445	436	7140	0	10506	3440	200	29
all	20110711	100.729895337154	0.00536596501902591	18772	106452.896443638	5166	684	12922	0	18065	5706	306	67
all	20110712	635.901010785825	0.0294044673442072	21626	121024.480434396	5964	668	14994	0	20940	6030	397	27
all	20110713	303.287571119339	0.0131669519457905	23034	130030.995933262	6180	765	16089	0	22375	6197	348	75
all	20110714	210.714713139864	0.00634033559426684	33234	190428.650286957	8777	1226	23231	0	32581	8237	412	38
all	20110715	0.449565471929544	1.38476966557691E-05	32465	185124.992767768	8493	1008	22964	0	31813	7288	408	38
all	20110716	976.673558735849	0.049825199404951	19602	113341.109609868	5686	600	13316	0	19181	4453	232	2
all	20110717	646.955499323699	0.035731553038976	18106	106613.382823644	5257	649	12200	0	17595	4677	243	11
all	20110718	490.360634618742	0.0169229926359312	28976	164433.31911853	7982	1000	19994	0	27999	7646	495	63
all	20110719	769.222176027035	0.0204444432166654	37625	214980.20977687	10319	1158	26148	0	36612	8640	596	91
all	20110720	870.701308387021	0.0240133844945261	36259	205530.964016775	9892	1105	25262	0	35298	8195	508	52
all	20110721	628.865655024403	0.0208759014415218	30124	172866.089825303	8260	960	20904	0	29302	7287	438	91
all	20110722	545.677120259421	0.0202582833479143	26936	151251.72120036	7307	816	18813	0	26306	6461	318	43
all	20110723	1384.55263479108	0.050805542154377	27252	154854.578570682	7810	807	18635	0	26743	5511	257	13
all	20110724	646.787680133021	0.0274819494426608	23535	138648.059450069	6557	801	16177	0	23035	5090	275	5
all	20110725	543.987189813887	0.015316679519481	35516	202038.032628503	9631	1185	24700	0	34761	8263	460	22
all	20110726	640.893451701899	0.0166625965655799	38463	215680.26681109	10187	1226	27050	0	37709	8492	483	54
all	20110727	1028.98452947654	0.0317225553989747	32437	181192.859121763	8874	1121	22442	0	31757	7815	408	42
all	20110728	278.33878876674	0.0129586474587616	21479	122706.198575851	5758	790	14931	0	21052	5814	256	14
all	20110729	245.083862904476	0.00973675511121829	25171	143635.742330899	6641	926	17604	0	24571	6749	334	40
all	20110730	573.664234962534	0.0252370874560087	22731	127956.510120384	6282	710	15739	0	22404	5190	210	17
all	20110731	460.432243297676	0.0206046828648383	22346	127416.49514845	6132	768	15446	0	21981	4962	206	9
all	20110801	-347.786407423686	-0.0103498618404216	33603	188388.211588761	8489	1240	23874	0	32844	7779	389	64
all	20110802	463.104181598386	0.0159795790896928	28981	159091.810944582	7765	1245	19971	0	28002	7344	355	388
all	20110803	82.7364977404768	0.00434860179441169	19026	107578.838516719	4999	723	13304	0	18378	5823	311	35
all	20110804	154.12917230376	0.00635820190189182	24241	135780.387765153	6447	807	16987	0	23665	6585	340	44
all	20110805	-527.777455091543	-0.0268329582130023	19669	109261.4040481	5083	885	13701	0	18923	6018	296	152
all	20110806	418.979055801066	0.0274003698777756	15291	87023.8837724574	4239	472	10580	0	14900	3790	178	13
all	20110807	536.661871231156	0.0377558654306428	14214	85284.2100883331	4079	508	9627	0	13820	3400	176	3
all	20110808	70.1860960219655	0.004304047097686	16307	94609.7677069471	4390	565	11352	0	15737	4689	287	57
all	20110809	-3.3008542679626	-0.000193689371433083	17042	96508.8822113355	4586	480	11976	0	16462	5407	295	28
all	20110810	-482.451140873711	-0.0115507359910389	41768	232884.459145409	10843	1207	29718	0	41042	9544	455	60
all	20110811	-617.926330966361	-0.0196005307037481	31526	177981.167290786	7965	1111	22450	0	31013	7755	347	41
