"MonthId","NumTweets_all","NumPositive_all","NumNegative_all","NumNeutral_all","NumDistinctTweets_all","NumDistinctUsers_all","NumPopularTweets_all","NumVerifiedTweets_all","NumTweets_allold","NumPositive_allold","NumNegative_allold","NumNeutral_allold","NumDistinctTweets_allold","NumDistinctUsers_allold","NumPopularTweets_allold","NumVerifiedTweets_allold","NumTweets_opening","NumPositive_opening","NumNegative_opening","NumNeutral_opening","NumDistinctTweets_opening","NumDistinctUsers_opening","NumPopularTweets_opening","NumVerifiedTweets_opening","NumTweets_posting","NumPositive_posting","NumNegative_posting","NumNeutral_posting","NumDistinctTweets_posting","NumDistinctUsers_posting","NumPopularTweets_posting","NumVerifiedTweets_posting","NumTweets_opportunity","NumPositive_opportunity","NumNegative_opportunity","NumNeutral_opportunity","NumDistinctTweets_opportunity","NumDistinctUsers_opportunity","NumPopularTweets_opportunity","NumVerifiedTweets_opportunity","NumTweets_hiring","NumPositive_hiring","NumNegative_hiring","NumNeutral_hiring","NumDistinctTweets_hiring","NumDistinctUsers_hiring","NumPopularTweets_hiring","NumVerifiedTweets_hiring","NumTweets_hashtags","NumPositive_hashtags","NumNegative_hashtags","NumNeutral_hashtags","NumDistinctTweets_hashtags","NumDistinctUsers_hashtags","NumPopularTweets_hashtags","NumVerifiedTweets_hashtags"
201312,1904,3619,-558,-1157,9823,-3022,-2160,-4155,-22861,-8188,178,-14851,-14685,-2009,-1549,-3946,3232,2275,349,608,1566,-182,-178,1771,-15635,-4586,-186,-10863,-15126,-241,-402,260,491,1324,71,-904,992,-655,-351,582,-11245,-7487,-60,-3698,-2120,-1130,-679,-6773,10535,9219,-859,2175,14132,-1661,-1077,-1070
201401,242923,84865,18778,139280,165291,9993,25893,25376,43356,22607,1553,19196,7003,6710,6997,16754,-911,-4478,664,2903,-7713,1176,1129,5171,7635,2149,-16,5502,5287,755,815,233,9298,9286,522,-510,2737,1998,1519,1674,27806,16030,393,11383,7037,3511,3619,9860,200999,62763,17177,121059,150273,5137,19745,10466
201402,-57794,-1939,2986,-58841,-36612,-1541,-1349,-1724,-22502,-8859,-1424,-12219,-18071,-1321,-1195,-2193,-21332,-6039,-1576,-13717,-16493,-647,-291,-4391,7418,981,153,6284,5859,12,-33,772,-472,979,152,-1603,-5507,-488,-187,5367,-7752,-4653,-193,-2906,-1984,-461,-648,-3512,-38862,3690,4313,-46865,-32321,-767,-472,-40
201403,423818,135096,34175,254547,346020,2041,13355,293,74579,31211,1838,41530,73517,1707,2041,-298,49666,21062,1234,27370,47856,664,405,864,13458,4539,159,8760,15015,-65,270,-849,5631,2898,-401,3134,9448,487,362,-3817,5824,2777,851,2196,1281,872,991,3172,372358,114424,32631,225303,339718,945,11874,1306
201404,37419,28066,-10121,19474,41666,533,-2002,-10866,-12346,-6089,867,-7124,-10455,142,-311,-2994,26110,12161,1630,12319,24628,-272,22,1579,-28501,-8791,-81,-19629,-28996,183,-221,984,-6866,-6209,-8,-649,-5698,-194,-54,-666,-3416,-3485,-638,707,-447,278,-90,-5044,21466,25117,-11324,7673,43848,374,-1522,-8570
201405,111033,54256,330,56447,90098,-304,14512,7480,10115,11902,-491,-1296,9924,-442,505,3675,-3421,-274,-1201,-1946,-1191,-114,258,-2519,1318,527,605,186,-196,49,-124,1755,1776,2833,32,-1089,1376,66,294,711,11026,9404,58,1564,10025,-266,105,4309,116620,52241,1067,63312,91654,165,14708,6626
201406,307301,102576,10081,194644,276844,11681,12129,7018,44357,22556,-406,22207,38196,6295,819,4008,21916,10029,-223,12110,15031,1595,216,5508,241,-31,-222,494,1346,674,-94,-1591,6811,5217,-264,1858,6152,1769,195,480,14968,6875,293,7800,15860,3500,482,-938,277025,88245,10657,178123,266287,7893,12051,2348
201407,393052,158645,17756,216651,349277,-9641,10287,7985,71383,48866,75,22442,55803,-4908,3310,7056,18464,11361,-55,7158,17256,-1076,1047,284,188,-328,-226,742,681,-739,42,-68,-898,9,-41,-866,115,-1620,-60,-1389,53890,37896,387,15607,37809,-2400,2318,8313,364786,139125,18141,207520,353377,-6910,7704,251
201408,966438,313353,10363,642722,998707,0,-3624,-6264,256990,151632,1232,104126,263185,564,1381,-4723,52038,-11067,-257,63362,49940,829,216,1777,3035,1086,-292,2241,3719,-3,159,-583,78580,76258,530,1792,74736,204,178,3139,123188,85408,1243,36537,134688,319,843,-9198,986608,328293,10451,647864,993022,-170,-2810,-61
201409,-254103,-59524,-15175,-179404,-221753,-7199,-19189,-5861,-151682,-78860,-2105,-70717,-137266,-4980,-5787,-5291,19381,36779,-110,-17288,27095,-1156,-556,-8148,-3524,-294,-100,-3130,-3365,-449,-513,-505,-19322,-15441,-503,-3378,-21371,-849,-604,3417,-148417,-100050,-1392,-46975,-139573,-2868,-4198,18,-225164,-49131,-14349,-161684,-210163,-2782,-15661,5506
