Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
IJC+NumTweets_Week2_opportunity_Absolute+NumTweets_Week2_opening_Absolute+NumTweets_Week2_opportunity_AbsoluteDelta+NumTweets_Week2_opening_AbsoluteDelta,45.44287599,34.36392118,57.9891927,34.38079375,9,6,9,7,79.68548817,-103.1145118,242.2698118
IJC+NumTweets_Week2_allold_Absolute+NumTweets_Week2_opportunity_Absolute+NumTweets_Week2_opening_Absolute+NumTweets_Week2_allold_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumTweets_Week2_opening_AbsoluteDelta,45.09075327,35.20732741,58.07710517,35.24501961,9,6,9,7,83.91096081,-98.88903919,244.7990662
IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute,45.81456814,36.94056287,58.35031987,36.94913969,9,6,9,7,75.22518235,-107.5748177,232.1621996
IJC+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute,45.72739913,35.04014149,58.22223194,35.06670484,9,6,9,7,76.27121042,-106.5287896,243.2070082
IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute,45.93296605,36.89120738,58.45288523,36.89986967,9,6,9,7,73.80440738,-108.9955926,232.8631697
IJC+NumTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute,45.89257978,35.04376025,58.09388245,35.11925838,9,6,9,7,74.28904261,-108.5109574,243.846908
IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute,45.7666945,35.3786599,58.21161612,35.38328035,9,6,9,7,75.79966599,-107.000334,239.1100548
IJC+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute,45.76693489,34.57790739,58.22391372,34.60164188,9,6,9,7,75.79678129,-107.0032187,242.2584849
IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute,45.94451882,35.26717549,58.32554988,35.2705761,9,6,9,7,73.66577412,-109.1342259,238.5082957
IJC+NumTweets_Month1_opening_Absolute+NumTweets_Week2_opening_Absolute,46.37807188,36.07614845,58.26187113,36.20898378,9,6,9,7,68.46313739,-114.3368626,241.1122669
