Features,L1,medianL1,L2,medianL2,Win1,Win2,DirectionalWin1,DirectionalWin2,WeightedWin1,WeightedWin2,Prediction
OneMonthBefore_Revised+IJC+NumTweets_Month1_opening_Absolute+NumPopularTweets_Month1_opening_Absolute+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute,49.78203672,31.01299475,62.73424297,31.09384131,6,5,6,7,27.61555935,-155.1844406,257.9156989
OneMonthBefore_Revised+IJC+NumTweets_Month1_all_AbsoluteDelta+NumPopularTweets_Month1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta,45.09995607,27.21764108,55.6229089,27.3687844,6,3,8,5,83.80052717,-98.99947283,268.0567915
OneMonthBefore_Revised+IJC+NumTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta,48.13179068,41.11384944,62.39128437,41.13115473,8,6,9,7,47.41851186,-135.3814881,250.3836759
OneMonthBefore_Revised+IJC+NumTweets_Week1_opening_AbsoluteDelta+NumPopularTweets_Week1_opening_AbsoluteDelta+NumTweets_Week2_opening_AbsoluteDelta+NumPopularTweets_Week2_opening_AbsoluteDelta,52.36041849,30.50381478,69.98295328,30.50671342,6,4,6,6,-3.325021919,-186.1250219,206.2880658
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Month1_all_Absolute,47.44415123,37.22573342,60.09110092,37.24817335,9,5,9,7,55.67018526,-127.1298147,238.8771677
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Week1_opening_Absolute,53.28421891,42.2116836,70.09997191,42.22729709,8,6,9,7,-14.41062689,-197.2106269,250.8001565
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Month1_all_AbsoluteDelta+NumVerifiedTweets_Week1_all_AbsoluteDelta,51.69093901,57.1656437,63.05060866,57.26996844,6,4,8,6,4.708731851,-178.0912681,273.6958756
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Month1_allold_AbsoluteDelta+NumVerifiedTweets_Week1_allold_AbsoluteDelta,56.61061809,58.75733923,67.61549406,59.43195095,6,5,9,8,-54.32741705,-237.1274171,263.2783196
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_all_Absolute,46.69580234,41.74079347,60.91698756,41.74266564,9,6,9,7,64.65037197,-118.149628,247.1693627
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_opening_Absolute,52.44718003,44.51691693,65.87314121,44.53603661,7,6,7,7,-4.366160413,-187.1661604,243.0269838
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_allold_Absolute+NumVerifiedTweets_Week2_opening_Absolute,53.96041763,62.77690968,67.54596407,65.02797542,7,5,7,7,-22.5250115,-205.3250115,248.2938871
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opening_Absolute,51.03228986,37.59566838,64.8978646,37.73559141,8,5,8,7,12.6125217,-170.1874783,230.4414911
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,46.47489208,28.73805564,61.35624998,30.5110358,7,5,7,7,67.30129504,-115.498705,254.5145114
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,49.34974147,32.68983821,63.48058607,33.01008143,7,6,7,7,32.80310233,-149.9968977,242.4319455
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Week2_all_AbsoluteDelta+NumVerifiedTweets_Week2_allold_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opening_AbsoluteDelta,49.17164954,37.61368265,63.20057986,37.61397652,6,6,6,7,34.94020547,-147.8597945,272.6283518
OneMonthBefore_Revised+IJC+NumVerifiedTweets_Week1_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta,57.07982296,29.91403293,84.76206623,31.51491652,7,4,8,6,-59.95787549,-242.7578755,233.8943271
