"","X","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"14336",14336,"TwoMonthBefore_UnRevised+NumPopularTweets_Month1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute",42.502562130205,36.4639501842296,58.325188157647,39.4977188135009,8,6,9,8,114.96925443754,-67.8307455624599,282.704665513668
"14544",14544,"TwoMonthBefore_UnRevised+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",41.9173228084085,22.3556426312771,58.8590497272868,23.1724700842821,8,6,9,7,121.992126299099,-60.8078737009015,226.715503383154
"15538",15538,"TwoMonthBefore_UnRevised+IJC+NumTweets_Month1_all_Absolute+NumTweets_Week2_all_Absolute+NumTweets_Month1_allold_Absolute+NumTweets_Week2_allold_Absolute+NumTweets_Month1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumTweets_Month1_allold_AbsoluteDelta+NumTweets_Week2_allold_AbsoluteDelta",42.7819547597333,37.0774614905093,59.8706104157353,38.6921981039403,9,6,9,7,111.6165428832,-71.1834571167996,305.505960416268
"15818",15818,"TwoMonthBefore_UnRevised+IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",43.1799774991281,27.2292916186419,60.5760008953522,28.4915049562201,9,6,10,7,106.840270010463,-75.9597299895367,256.991843338531
"15887",15887,"TwoMonthBefore_UnRevised+IJC+NumPopularTweets_Month1_opportunity_Absolute+NumPopularTweets_Week1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Week1_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",44.0820268965361,29.7478967408489,60.221746039379,30.5831727157174,9,6,10,7,96.0156772415666,-86.7843227584334,261.436238491593
"16055",16055,"TwoMonthBefore_UnRevised+IJC+NumTweets_Month1_opportunity_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumTweets_Month1_opportunity_AbsoluteDelta+NumPopularTweets_Month1_opportunity_AbsoluteDelta+NumTweets_Week2_opportunity_AbsoluteDelta+NumPopularTweets_Week2_opportunity_AbsoluteDelta",44.6107594027212,37.1877595068391,60.9514464459895,37.2035185498437,9,6,10,7,89.6708871673454,-93.1291128326547,251.237455635143
"16245",16245,"TwoMonthBefore_UnRevised+IJC+NumVerifiedTweets_Week2_opportunity_AbsoluteDelta+NumVerifiedTweets_Week2_opening_AbsoluteDelta",42.4222592249908,21.197221673852,60.0118875983847,21.2383227262128,9,7,9,8,115.93288930011,-66.8671106998896,226.390723610046
"16515",16515,"TwoMonthBefore_UnRevised+IJC+NumTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",43.7297177613421,29.718398557744,60.0000347852649,31.8846308457354,10,7,10,8,100.243386863894,-82.5566131361057,217.406132937548
"16717",16717,"TwoMonthBefore_UnRevised+IJC+NumPopularTweets_Month1_allold_Absolute+NumVerifiedTweets_Month1_allold_Absolute+NumPopularTweets_Week2_allold_Absolute+NumVerifiedTweets_Week2_allold_Absolute+NumPopularTweets_Month1_opportunity_Absolute+NumVerifiedTweets_Month1_opportunity_Absolute+NumPopularTweets_Week2_opportunity_Absolute+NumVerifiedTweets_Week2_opportunity_Absolute",43.437833571879,14.7554747020208,71.0672065408319,15.3299343285499,8,8,9,10,103.745997137452,-79.0540028625478,207.554593546889
"17610",17610,"TwoMonthBefore_UnRevised+DeltaIJC+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week2_all_Absolute+NumPopularTweets_Week2_all_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week2_all_AbsoluteDelta+NumPopularTweets_Week2_all_AbsoluteDelta",42.9761673247767,23.1117409537535,59.5290206842898,24.0150514471202,8,6,9,7,109.28599210268,-73.5140078973204,227.247114384521
"19032",19032,"TwoMonthBefore_Revised+NumTweets_Week1_all_Absolute+NumPopularTweets_Week1_all_Absolute+NumTweets_Week1_opening_Absolute+NumPopularTweets_Week1_opening_Absolute+NumTweets_Week1_all_AbsoluteDelta+NumPopularTweets_Week1_all_AbsoluteDelta+NumTweets_Week1_opening_AbsoluteDelta+NumPopularTweets_Week1_opening_AbsoluteDelta",37.3812359601581,21.1032792691562,52.4634361308417,21.9786169251975,9,7,10,8,176.425168478103,-6.37483152189742,350.664254608161
