"","Features","L1","medianL1","L2","medianL2","Win1","Win2","DirectionalWin1","DirectionalWin2","WeightedWin1","WeightedWin2","Prediction"
"2649","OneMonthBefore+TwoMonthBefore+NumTweets_Month2_hashtags_Log+NumDistinctUsers_Month2_hashtags_Log+NumTweets_Week2_hashtags_Log+NumDistinctUsers_Week2_hashtags_Log+NumTweets_Month2_hashtags_LogDelta+NumDistinctUsers_Month2_hashtags_LogDelta+NumTweets_Week2_hashtags_LogDelta+NumDistinctUsers_Week2_hashtags_LogDelta","41.5354472068265","20.1410462934815","62.1747517596331","20.4655487255561","8","6","10","8","234","161.6","187.348932791821"
"2650","OneMonthBefore+TwoMonthBefore+NumTweets_Week1_hashtags_Log+NumDistinctUsers_Week1_hashtags_Log+NumTweets_Week2_hashtags_Log+NumDistinctUsers_Week2_hashtags_Log","47.6683883556307","33.3696412600653","64.3871031111409","33.4675587350991","5","7","7","9","123","179.6","179.359927319802"
"2651","OneMonthBefore+TwoMonthBefore+NumTweets_Week1_hashtags_LogDelta+NumDistinctUsers_Week1_hashtags_LogDelta+NumTweets_Week2_hashtags_LogDelta+NumDistinctUsers_Week2_hashtags_LogDelta","45.7507811327921","32.623756276952","63.4949901400797","32.6416230040689","5","6","7","9","123","137.2","178.824952612993"
"2652","OneMonthBefore+TwoMonthBefore+NumTweets_Week1_hashtags_Log+NumDistinctUsers_Week1_hashtags_Log+NumTweets_Week2_hashtags_Log+NumDistinctUsers_Week2_hashtags_Log+NumTweets_Week1_hashtags_LogDelta+NumDistinctUsers_Week1_hashtags_LogDelta+NumTweets_Week2_hashtags_LogDelta+NumDistinctUsers_Week2_hashtags_LogDelta","52.0817402371304","45.7422021204831","69.1368696603348","46.1037058131607","6","5","8","8","176","73.2","166.134838326685"
"2653","OneMonthBefore+TwoMonthBefore+NumDistinctTweets_Month1_hashtags_Log+NumDistinctUsers_Month1_hashtags_Log","43.6686617428034","31.0091608206221","54.7847384725405","31.0754359334216","8","4","10","6","447","193.6","310.410546776225"
"2654","OneMonthBefore+TwoMonthBefore+NumDistinctTweets_Month1_hashtags_LogDelta+NumDistinctUsers_Month1_hashtags_LogDelta","42.7484389691695","22.7264343584254","54.6453381575824","22.8135996378794","5","6","8","7","124","181.4","220.839836980841"
"2655","OneMonthBefore+TwoMonthBefore+NumDistinctTweets_Month1_hashtags_Log+NumDistinctUsers_Month1_hashtags_Log+NumDistinctTweets_Month1_hashtags_LogDelta+NumDistinctUsers_Month1_hashtags_LogDelta","43.9451378056307","32.0002101471728","55.2496386477995","32.0020433818224","7","4","9","6","306","193.6","302.358505880998"
"2656","OneMonthBefore+TwoMonthBefore+NumDistinctTweets_Month2_hashtags_Log+NumDistinctUsers_Month2_hashtags_Log","47.4041440598803","37.6951074406835","61.6444468474965","37.6969858580436","4","5","6","8","71","119.2","230.601554779663"
"2657","OneMonthBefore+TwoMonthBefore+NumDistinctTweets_Month2_hashtags_LogDelta+NumDistinctUsers_Month2_hashtags_LogDelta","43.745699415584","22.2810944784589","61.9922619818345","22.2856326793078","6","5","7","8","176","120.8","214.871790929172"
"2658","OneMonthBefore+TwoMonthBefore+NumDistinctTweets_Month2_hashtags_Log+NumDistinctUsers_Month2_hashtags_Log+NumDistinctTweets_Month2_hashtags_LogDelta+NumDistinctUsers_Month2_hashtags_LogDelta","41.9960497212184","17.5174018873229","58.0973530684467","17.5521084467029","7","6","8","8","176","157.4","264.352489306114"
"2659","OneMonthBefore+TwoMonthBefore+NumDistinctTweets_Month1_hashtags_Log+NumDistinctUsers_Month1_hashtags_Log+NumDistinctTweets_Month2_hashtags_Log+NumDistinctUsers_Month2_hashtags_Log","43.7078126194655","31.5081903142519","55.0106767399395","31.5081933164249","7","4","9","6","306","193.6","300.61849730096"
"2660","OneMonthBefore+TwoMonthBefore+NumDistinctTweets_Month1_hashtags_LogDelta+NumDistinctUsers_Month1_hashtags_LogDelta+NumDistinctTweets_Month2_hashtags_LogDelta+NumDistinctUsers_Month2_hashtags_LogDelta","39.6288434444633","26.1987595526161","55.1855391565135","26.8334213744154","7","7","8","7","176","167.6","255.467384024807"
"2661","OneMonthBefore+TwoMonthBefore+NumDistinctTweets_Month1_hashtags_Log+NumDistinctUsers_Month1_hashtags_Log+NumDistinctTweets_Month2_hashtags_Log+NumDistinctUsers_Month2_hashtags_Log+NumDistinctTweets_Month1_hashtags_LogDelta+NumDistinctUsers_Month1_hashtags_LogDelta+NumDistinctTweets_Month2_hashtags_LogDelta+NumDistinctUsers_Month2_hashtags_LogDelta","51.0977504790788","49.3512827347228","61.2525641199956","49.5827427800845","7","4","9","5","275","70","312.649392452928"
"2662","OneMonthBefore+TwoMonthBefore+NumDistinctTweets_Week1_hashtags_Log+NumDistinctUsers_Week1_hashtags_Log","44.5644129967214","41.5957032192691","56.6243484403089","43.7095313787711","6","5","9","8","270","80.2","249.479635808877"
